%xdss
@relation 'tipo de prestamo'

%ATRIBUTOS POR ORDEN DE APARICIÓN EN LA DESCRIPCIÓN
@attribute monto INTEGER
@attribute antiguedad INTEGER
@attribute edad INTEGER
@attribute prestamo {'A SOLA FIRMA',EXTRAORDINARIO}

%DATOS DE LOS PARTICIPANTES
@data
35000, 2143, 17968, EXTRAORDINARIO
60000, 3458, 19283, EXTRAORDINARIO
36800, 3312, 13137, EXTRAORDINARIO
48000, 1588, 11413, EXTRAORDINARIO
46200, 1590, 20932, EXTRAORDINARIO
168000, 793, 21307, EXTRAORDINARIO
182522, 1641, 22155, EXTRAORDINARIO
189234, 2831, 23345, 'A SOLA FIRMA'
246841, 3927, 17806, EXTRAORDINARIO
697924, 3079, 16958, 'A SOLA FIRMA'
23984, 2258, 23674, EXTRAORDINARIO
1000, 1268, 19167, EXTRAORDINARIO
1000, 1255, 22787, EXTRAORDINARIO
43000, 565, 19752, EXTRAORDINARIO
7400, 695, 25044, EXTRAORDINARIO
50000, 2250, 26599, EXTRAORDINARIO
107400, 708, 22805, EXTRAORDINARIO
126100, 1862, 23959, EXTRAORDINARIO
16200, 870, 22017, EXTRAORDINARIO
60000, 1191, 22338, EXTRAORDINARIO
67000, 2278, 23425, EXTRAORDINARIO
80000, 5594, 26741, EXTRAORDINARIO
180100, 3250, 24397, EXTRAORDINARIO
181600, 3795, 24942, EXTRAORDINARIO
56300, 4616, 24042, EXTRAORDINARIO
43535, 3812, 20607, EXTRAORDINARIO
8800, 873, 20145, EXTRAORDINARIO
30600, 910, 18734, EXTRAORDINARIO
32400, 1174, 18998, EXTRAORDINARIO
38400, 1535, 19359, EXTRAORDINARIO
41000, 2496, 20320, EXTRAORDINARIO
23260, 1029, 12456, EXTRAORDINARIO
32015, 1594, 13021, EXTRAORDINARIO
51165, 1704, 13131, EXTRAORDINARIO
53165, 1976, 13403, EXTRAORDINARIO
92332, 2137, 13564, EXTRAORDINARIO
113932, 2497, 13924, EXTRAORDINARIO
115332, 2711, 14138, 'A SOLA FIRMA'
118432, 3164, 14591, 'A SOLA FIRMA'
188432, 3204, 14631, EXTRAORDINARIO
200232, 4540, 15967, 'A SOLA FIRMA'
15200, 1856, 8758, EXTRAORDINARIO
20000, 2065, 8029, EXTRAORDINARIO
22200, 3691, 9655, EXTRAORDINARIO
203976, 1177, 10831, EXTRAORDINARIO
204176, 1308, 10962, 'A SOLA FIRMA'
610200, 1215, 25106, EXTRAORDINARIO
45000, 1293, 19520, EXTRAORDINARIO
85000, 2103, 20330, EXTRAORDINARIO
110000, 3243, 21470, EXTRAORDINARIO
110900, 5055, 23282, 'A SOLA FIRMA'
110900, 5441, 23668, 'A SOLA FIRMA'
110900, 5465, 23692, 'A SOLA FIRMA'
111000, 1554, 13464, EXTRAORDINARIO
152600, 2236, 23721, EXTRAORDINARIO
60000, 2977, 15943, EXTRAORDINARIO
172000, 2985, 15951, EXTRAORDINARIO
153000, 1807, 12769, EXTRAORDINARIO
55800, 546, 21724, EXTRAORDINARIO
107800, 969, 22147, EXTRAORDINARIO
110000, 1524, 22702, EXTRAORDINARIO
10000, 1889, 25965, EXTRAORDINARIO
6010, 1080, 25382, EXTRAORDINARIO
45610, 1900, 26202, EXTRAORDINARIO
115000, 1107, 22754, EXTRAORDINARIO
115600, 1464, 23111, EXTRAORDINARIO
11000, 126, 20768, EXTRAORDINARIO
12600, 448, 21090, EXTRAORDINARIO
53387, 3877, 24519, 'A SOLA FIRMA'
94700, 510, 21152, EXTRAORDINARIO
94900, 545, 21187, EXTRAORDINARIO
95700, 721, 21363, EXTRAORDINARIO
95900, 909, 21551, EXTRAORDINARIO
98300, 1476, 22118, EXTRAORDINARIO
98900, 2331, 22973, 'A SOLA FIRMA'
99200, 2421, 23063, EXTRAORDINARIO
100000, 2696, 23338, EXTRAORDINARIO
12762, 621, 8954, EXTRAORDINARIO
3000, 1070, 19189, EXTRAORDINARIO
15600, 1792, 24248, EXTRAORDINARIO
17500, 2817, 25273, EXTRAORDINARIO
19600, 3601, 26057, 'A SOLA FIRMA'
153000, 6, 22179, EXTRAORDINARIO
153800, 191, 22364, EXTRAORDINARIO
154000, 200, 22373, EXTRAORDINARIO
154400, 613, 22786, EXTRAORDINARIO
155400, 1061, 23234, EXTRAORDINARIO
156200, 1350, 23523, EXTRAORDINARIO
103000, 40, 11277, EXTRAORDINARIO
105200, 390, 11627, EXTRAORDINARIO
107200, 1868, 13105, EXTRAORDINARIO
110100, 3247, 14484, EXTRAORDINARIO
141200, 1139, 12487, EXTRAORDINARIO
147800, 2242, 13590, EXTRAORDINARIO
12600, 1420, 16143, 'A SOLA FIRMA'
13200, 1501, 16224, 'A SOLA FIRMA'
14000, 1623, 16346, 'A SOLA FIRMA'
15200, 1855, 16578, 'A SOLA FIRMA'
15600, 1963, 16686, 'A SOLA FIRMA'
15800, 1990, 16713, 'A SOLA FIRMA'
16716, 2032, 16755, 'A SOLA FIRMA'
16916, 2059, 16782, 'A SOLA FIRMA'
16916, 2089, 16812, 'A SOLA FIRMA'
17016, 2116, 16839, 'A SOLA FIRMA'
17116, 2151, 16874, 'A SOLA FIRMA'
17216, 2177, 16900, 'A SOLA FIRMA'
17216, 2228, 16951, 'A SOLA FIRMA'
17216, 2257, 16980, 'A SOLA FIRMA'
17316, 2327, 17050, 'A SOLA FIRMA'
17416, 2399, 17122, 'A SOLA FIRMA'
17416, 2439, 17162, 'A SOLA FIRMA'
23916, 2775, 17498, 'A SOLA FIRMA'
24716, 3055, 17778, 'A SOLA FIRMA'
25116, 3358, 18081, 'A SOLA FIRMA'
25316, 3502, 18225, 'A SOLA FIRMA'
25516, 3695, 18418, 'A SOLA FIRMA'
25516, 3858, 18581, 'A SOLA FIRMA'
25616, 4172, 18895, 'A SOLA FIRMA'
31616, 4364, 19087, 'A SOLA FIRMA'
63000, 29, 19803, EXTRAORDINARIO
64200, 253, 20027, EXTRAORDINARIO
102300, 392, 20166, EXTRAORDINARIO
103300, 934, 20708, EXTRAORDINARIO
104300, 1413, 21187, EXTRAORDINARIO
107900, 2345, 22119, EXTRAORDINARIO
108700, 2465, 22239, 'A SOLA FIRMA'
109900, 3209, 22983, 'A SOLA FIRMA'
110800, 3529, 23303, 'A SOLA FIRMA'
111700, 4306, 24080, 'A SOLA FIRMA'
111700, 4479, 24253, 'A SOLA FIRMA'
111700, 4537, 24311, 'A SOLA FIRMA'
41900, 642, 17684, EXTRAORDINARIO
79000, 173, 9141, EXTRAORDINARIO
81400, 700, 9668, EXTRAORDINARIO
128900, 1028, 9996, EXTRAORDINARIO
128900, 1381, 10349, EXTRAORDINARIO
132400, 2313, 11281, EXTRAORDINARIO
134400, 3478, 12446, 'A SOLA FIRMA'
25200, 182, 16553, EXTRAORDINARIO
137635, 3964, 20335, EXTRAORDINARIO
203000, 139, 12585, EXTRAORDINARIO
217200, 715, 16486, EXTRAORDINARIO
90000, 480, 22094, EXTRAORDINARIO
166400, 627, 18188, EXTRAORDINARIO
168600, 974, 18535, EXTRAORDINARIO
170900, 1767, 19328, 'A SOLA FIRMA'
171100, 1800, 19361, 'A SOLA FIRMA'
172082, 1936, 19497, 'A SOLA FIRMA'
172564, 2056, 19617, 'A SOLA FIRMA'
173064, 2263, 19824, 'A SOLA FIRMA'
613364, 3572, 21133, EXTRAORDINARIO
21500, 1251, 12092, EXTRAORDINARIO
96200, 624, 9396, EXTRAORDINARIO
98400, 971, 9743, EXTRAORDINARIO
100900, 1797, 10569, 'A SOLA FIRMA'
101488, 2067, 10839, 'A SOLA FIRMA'
120100, 2144, 10916, EXTRAORDINARIO
40500, 13, 15895, EXTRAORDINARIO
45300, 1064, 16946, EXTRAORDINARIO
122900, 1455, 17337, EXTRAORDINARIO
129300, 2584, 18466, EXTRAORDINARIO
21400, 3248, 13938, EXTRAORDINARIO
13000, 7, 19131, EXTRAORDINARIO
13000, 99, 15767, EXTRAORDINARIO
18000, 0, 13388, EXTRAORDINARIO
62400, 2059, 15123, EXTRAORDINARIO
80906, 2333, 15397, EXTRAORDINARIO
171806, 2631, 15695, EXTRAORDINARIO
183000, 81, 21274, EXTRAORDINARIO
55500, 1098, 14576, EXTRAORDINARIO
10500, 1231, 13569, 'A SOLA FIRMA'
11300, 1351, 13689, 'A SOLA FIRMA'
13400, 1592, 13930, 'A SOLA FIRMA'
13600, 1632, 13970, 'A SOLA FIRMA'
14400, 1726, 14064, 'A SOLA FIRMA'
15600, 1889, 14227, 'A SOLA FIRMA'
16200, 2119, 14457, 'A SOLA FIRMA'
16731, 2499, 14837, 'A SOLA FIRMA'
37531, 2750, 15088, 'A SOLA FIRMA'
37731, 2911, 15249, 'A SOLA FIRMA'
38931, 3400, 15738, 'A SOLA FIRMA'
18000, 48, 10127, EXTRAORDINARIO
33000, 7, 7685, EXTRAORDINARIO
37200, 638, 8316, EXTRAORDINARIO
39600, 1017, 8695, EXTRAORDINARIO
45400, 2030, 9708, EXTRAORDINARIO
48000, 424, 24406, EXTRAORDINARIO
52800, 1707, 25689, EXTRAORDINARIO
54700, 2149, 26131, EXTRAORDINARIO
56400, 3976, 27958, 'A SOLA FIRMA'
25500, 10, 12309, EXTRAORDINARIO
38000, 2842, 15652, EXTRAORDINARIO
118200, 2962, 15772, EXTRAORDINARIO
33000, 4, 15104, EXTRAORDINARIO
110400, 385, 15485, EXTRAORDINARIO
125800, 1184, 16284, EXTRAORDINARIO
131500, 2369, 17469, 'A SOLA FIRMA'
131800, 2744, 17844, 'A SOLA FIRMA'
131800, 3139, 18239, 'A SOLA FIRMA'
131800, 3521, 18621, 'A SOLA FIRMA'
132100, 3861, 18961, 'A SOLA FIRMA'
132200, 4329, 19429, 'A SOLA FIRMA'
132200, 4873, 19973, 'A SOLA FIRMA'
15000, 132, 25141, EXTRAORDINARIO
20155, 2099, 8856, EXTRAORDINARIO
61866, 2926, 9683, EXTRAORDINARIO
143000, 669, 15247, EXTRAORDINARIO
147600, 1393, 15971, EXTRAORDINARIO
152000, 2020, 16598, EXTRAORDINARIO
202700, 2261, 16839, EXTRAORDINARIO
203700, 2499, 17077, EXTRAORDINARIO
208311, 3805, 18383, 'A SOLA FIRMA'
208311, 4473, 19051, 'A SOLA FIRMA'
208311, 4640, 19218, EXTRAORDINARIO
208311, 4940, 19518, 'A SOLA FIRMA'
208311, 5095, 19673, 'A SOLA FIRMA'
14800, 1831, 15793, 'A SOLA FIRMA'
14800, 1952, 15914, EXTRAORDINARIO
18648, 3762, 17724, EXTRAORDINARIO
22400, 241, 14203, EXTRAORDINARIO
37400, 945, 14907, EXTRAORDINARIO
55800, 1165, 15127, EXTRAORDINARIO
65000, 1279, 15241, EXTRAORDINARIO
70000, 2052, 16014, EXTRAORDINARIO
70300, 2188, 16150, 'A SOLA FIRMA'
70600, 2464, 16426, 'A SOLA FIRMA'
70600, 2464, 16426, EXTRAORDINARIO
8000, 1, 10302, EXTRAORDINARIO
15000, 1838, 12139, EXTRAORDINARIO
150000, 934, 11711, EXTRAORDINARIO
156800, 2032, 12809, EXTRAORDINARIO
240100, 3075, 13852, EXTRAORDINARIO
333000, 3, 18032, EXTRAORDINARIO
593000, 46, 18075, EXTRAORDINARIO
198000, 32, 19739, EXTRAORDINARIO
202200, 709, 20416, 'A SOLA FIRMA'
283110, 774, 20481, EXTRAORDINARIO
366710, 1011, 20718, EXTRAORDINARIO
385710, 1191, 20898, EXTRAORDINARIO
385710, 1332, 21039, EXTRAORDINARIO
33500, 1561, 17356, EXTRAORDINARIO
35900, 2420, 18215, 'A SOLA FIRMA'
36100, 3036, 18831, 'A SOLA FIRMA'
100200, 1115, 13869, EXTRAORDINARIO
264000, 2558, 15312, EXTRAORDINARIO
253000, 122, 9966, EXTRAORDINARIO
253400, 199, 10043, EXTRAORDINARIO
254600, 328, 10172, EXTRAORDINARIO
169600, 2558, 11367, EXTRAORDINARIO
25517, 1, 21935, EXTRAORDINARIO
25517, 14, 21948, EXTRAORDINARIO
60017, 378, 22312, EXTRAORDINARIO
86017, 688, 22622, EXTRAORDINARIO
87817, 1202, 23136, EXTRAORDINARIO
87817, 1456, 23390, EXTRAORDINARIO
110000, 2231, 23005, EXTRAORDINARIO
238200, 2544, 23318, EXTRAORDINARIO
238400, 3423, 24197, EXTRAORDINARIO
115000, 4, 16764, EXTRAORDINARIO
115200, 63, 16823, EXTRAORDINARIO
168000, 264, 17024, EXTRAORDINARIO
169800, 694, 17454, EXTRAORDINARIO
123000, 14, 12135, EXTRAORDINARIO
128600, 1302, 13423, EXTRAORDINARIO
132500, 1996, 14117, EXTRAORDINARIO
134100, 2632, 14753, EXTRAORDINARIO
28000, 970, 13571, EXTRAORDINARIO
108000, 133, 11774, EXTRAORDINARIO
112200, 1572, 13213, 'A SOLA FIRMA'
75000, 583, 25093, EXTRAORDINARIO
123000, 524, 11326, EXTRAORDINARIO
78000, 7, 18254, EXTRAORDINARIO
81800, 1138, 19385, EXTRAORDINARIO
84900, 2087, 20334, EXTRAORDINARIO
60000, 236, 20179, EXTRAORDINARIO
48000, 64, 9633, EXTRAORDINARIO
61649, 837, 10406, EXTRAORDINARIO
64449, 1207, 10776, EXTRAORDINARIO
139849, 2038, 11607, EXTRAORDINARIO
144322, 3441, 13010, 'A SOLA FIRMA'
110000, 1150, 14293, EXTRAORDINARIO
3000, 0, 20785, EXTRAORDINARIO
5980, 1162, 21947, EXTRAORDINARIO
21000, 3273, 16086, EXTRAORDINARIO
4348, 0, 17056, EXTRAORDINARIO
48000, 7, 20898, EXTRAORDINARIO
50000, 1817, 21829, 'A SOLA FIRMA'
51100, 2277, 22289, 'A SOLA FIRMA'
8000, 11, 11500, EXTRAORDINARIO
21400, 935, 23016, EXTRAORDINARIO
28800, 1290, 23371, EXTRAORDINARIO
31000, 2759, 24840, EXTRAORDINARIO
3886, 0, 19985, EXTRAORDINARIO
24851, 1056, 21041, EXTRAORDINARIO
26851, 1380, 21365, EXTRAORDINARIO
29051, 1685, 21670, EXTRAORDINARIO
29951, 1899, 21884, EXTRAORDINARIO
30051, 2043, 22028, 'A SOLA FIRMA'
30051, 2066, 22051, EXTRAORDINARIO
30051, 2095, 22080, 'A SOLA FIRMA'
31051, 2389, 22374, 'A SOLA FIRMA'
31251, 2529, 22514, 'A SOLA FIRMA'
2164, 0, 9710, EXTRAORDINARIO
15000, 1055, 10765, EXTRAORDINARIO
41104, 1673, 11383, EXTRAORDINARIO
44404, 2638, 12348, EXTRAORDINARIO
44704, 2861, 12571, EXTRAORDINARIO
2299, 0, 10701, EXTRAORDINARIO
12610, 923, 11624, EXTRAORDINARIO
14210, 1279, 11980, EXTRAORDINARIO
15410, 1498, 12199, EXTRAORDINARIO
18510, 2045, 12746, EXTRAORDINARIO
29260, 2428, 13129, EXTRAORDINARIO
30760, 2973, 13674, EXTRAORDINARIO
31260, 5076, 15777, 'A SOLA FIRMA'
43900, 2114, 25604, 'A SOLA FIRMA'
103000, 241, 23731, EXTRAORDINARIO
109400, 1137, 24627, EXTRAORDINARIO
112800, 1747, 25237, 'A SOLA FIRMA'
100451, 944, 20883, 'A SOLA FIRMA'
101851, 1220, 21159, 'A SOLA FIRMA'
112451, 1333, 21272, 'A SOLA FIRMA'
141956, 1483, 21422, 'A SOLA FIRMA'
171047, 1800, 21739, 'A SOLA FIRMA'
13600, 677, 11111, EXTRAORDINARIO
30000, 1500, 11934, EXTRAORDINARIO
48000, 3, 14513, EXTRAORDINARIO
60900, 221, 14731, EXTRAORDINARIO
63500, 804, 15314, EXTRAORDINARIO
120700, 1212, 15722, EXTRAORDINARIO
240000, 2972, 17482, EXTRAORDINARIO
1500, 0, 23642, EXTRAORDINARIO
13000, 54, 21044, EXTRAORDINARIO
5659, 0, 9821, EXTRAORDINARIO
18025, 983, 10804, EXTRAORDINARIO
21925, 1940, 11761, EXTRAORDINARIO
21925, 2003, 11824, EXTRAORDINARIO
22325, 2142, 11963, 'A SOLA FIRMA'
23925, 2788, 12609, EXTRAORDINARIO
45526, 2954, 12775, EXTRAORDINARIO
45526, 3173, 12994, EXTRAORDINARIO
2825, 0, 10373, EXTRAORDINARIO
12384, 183, 10556, EXTRAORDINARIO
27384, 1044, 11417, EXTRAORDINARIO
29784, 1429, 11802, EXTRAORDINARIO
31684, 2002, 12375, 'A SOLA FIRMA'
80448, 1981, 28584, 'A SOLA FIRMA'
80848, 2230, 28833, 'A SOLA FIRMA'
80948, 2490, 29093, 'A SOLA FIRMA'
80948, 3317, 29920, 'A SOLA FIRMA'
80948, 3703, 30306, 'A SOLA FIRMA'
80948, 3974, 30577, 'A SOLA FIRMA'
80948, 4254, 30857, 'A SOLA FIRMA'
80948, 4585, 31188, 'A SOLA FIRMA'
103000, 10, 26613, EXTRAORDINARIO
132552, 20, 26623, EXTRAORDINARIO
167252, 25, 26628, EXTRAORDINARIO
193779, 28, 26631, EXTRAORDINARIO
217079, 42, 26645, EXTRAORDINARIO
229493, 48, 26651, EXTRAORDINARIO
246793, 80, 26683, EXTRAORDINARIO
261793, 103, 26706, EXTRAORDINARIO
267793, 116, 26719, EXTRAORDINARIO
297700, 126, 26729, EXTRAORDINARIO
330600, 136, 26739, EXTRAORDINARIO
343511, 164, 26767, EXTRAORDINARIO
343511, 171, 26774, EXTRAORDINARIO
353420, 179, 26782, EXTRAORDINARIO
406920, 181, 26784, EXTRAORDINARIO
427836, 199, 26802, EXTRAORDINARIO
459536, 210, 26813, EXTRAORDINARIO
465855, 213, 26816, EXTRAORDINARIO
481555, 237, 26840, EXTRAORDINARIO
493155, 257, 26860, EXTRAORDINARIO
501305, 269, 26872, EXTRAORDINARIO
521705, 271, 26874, EXTRAORDINARIO
529758, 274, 26877, EXTRAORDINARIO
544808, 297, 26900, EXTRAORDINARIO
558348, 299, 26902, EXTRAORDINARIO
565548, 301, 26904, EXTRAORDINARIO
576048, 328, 26931, EXTRAORDINARIO
576048, 713, 27316, 'A SOLA FIRMA'
577048, 865, 27468, 'A SOLA FIRMA'
578648, 1109, 27712, 'A SOLA FIRMA'
24226, 2288, 26318, EXTRAORDINARIO
103000, 230, 24260, EXTRAORDINARIO
103400, 294, 24324, EXTRAORDINARIO
104200, 468, 24498, EXTRAORDINARIO
106000, 790, 24820, EXTRAORDINARIO
17742, 1200, 12725, EXTRAORDINARIO
18942, 1960, 13485, EXTRAORDINARIO
19242, 2327, 13852, EXTRAORDINARIO
14600, 749, 21100, EXTRAORDINARIO
18042, 1285, 17604, EXTRAORDINARIO
18842, 2226, 18545, EXTRAORDINARIO
19742, 2573, 18892, EXTRAORDINARIO
50200, 1764, 15400, EXTRAORDINARIO
96900, 250, 13930, EXTRAORDINARIO
99300, 667, 14347, EXTRAORDINARIO
102300, 1522, 15202, EXTRAORDINARIO
102700, 2567, 16247, EXTRAORDINARIO
102700, 2782, 16462, 'A SOLA FIRMA'
25500, 9, 16762, EXTRAORDINARIO
26100, 174, 16927, EXTRAORDINARIO
28900, 1521, 18274, EXTRAORDINARIO
31400, 2319, 19072, EXTRAORDINARIO
113000, 10, 18249, EXTRAORDINARIO
125000, 334, 18573, EXTRAORDINARIO
130200, 1026, 19265, EXTRAORDINARIO
130800, 1162, 19401, EXTRAORDINARIO
133900, 1912, 20151, EXTRAORDINARIO
303000, 1, 10823, EXTRAORDINARIO
307600, 895, 11717, EXTRAORDINARIO
13693, 731, 9570, EXTRAORDINARIO
16893, 1242, 10081, EXTRAORDINARIO
19893, 1781, 10620, EXTRAORDINARIO
213826, 2116, 25124, 'A SOLA FIRMA'
214626, 2491, 25499, 'A SOLA FIRMA'
241775, 2989, 25997, 'A SOLA FIRMA'
242175, 3180, 26188, 'A SOLA FIRMA'
242375, 3524, 26532, 'A SOLA FIRMA'
242375, 3880, 26888, 'A SOLA FIRMA'
242375, 4256, 27264, 'A SOLA FIRMA'
242375, 4269, 27277, 'A SOLA FIRMA'
2207, 0, 12044, EXTRAORDINARIO
16129, 1596, 11228, EXTRAORDINARIO
17829, 2306, 11938, EXTRAORDINARIO
32194, 2671, 12303, EXTRAORDINARIO
4979, 710, 14973, EXTRAORDINARIO
8656, 1086, 15349, EXTRAORDINARIO
23735, 861, 14732, EXTRAORDINARIO
25735, 2031, 15902, EXTRAORDINARIO
12214, 895, 13024, EXTRAORDINARIO
12814, 1076, 13205, EXTRAORDINARIO
15814, 1552, 13681, EXTRAORDINARIO
16814, 1898, 14027, EXTRAORDINARIO
12476, 771, 11767, EXTRAORDINARIO
16676, 1456, 12452, EXTRAORDINARIO
6955, 2211, 15030, EXTRAORDINARIO
19400, 906, 19182, EXTRAORDINARIO
19700, 780, 18110, EXTRAORDINARIO
40500, 921, 18251, 'A SOLA FIRMA'
232100, 3107, 25191, 'A SOLA FIRMA'
12875, 1028, 18795, EXTRAORDINARIO
12735, 764, 19894, 'A SOLA FIRMA'
13135, 824, 19954, 'A SOLA FIRMA'
13535, 949, 20079, EXTRAORDINARIO
15935, 1314, 20444, EXTRAORDINARIO
